Protein,GN,Species
Q00266,MAT1A,Homo sapiens
Q8NB16,MLKL,Homo sapiens
O94851,MICAL2,Homo sapiens
Q8TDZ2,MICAL1,Homo sapiens
Q9NPJ6,MED4,Homo sapiens
Q8N635,MEIOB,Homo sapiens
O15553,MEFV,Homo sapiens
Q8NCK7,SLC16A11,Homo sapiens
Q9HD23,MRS2,Homo sapiens
Q9NYP9,MIS18A,Homo sapiens
Q96H12,MSANTD3,Homo sapiens
Q86VF5,MOGAT3,Homo sapiens
Q13724,MOGS,Homo sapiens
P45452,MMP13,Homo sapiens
Q9BXB5,OSBPL10,Homo sapiens
A0A024RBG1,NUDT4B,Homo sapiens
Q8NH64,OR51A7,Homo sapiens
Q96DL1,NXPE2,Homo sapiens
Q9ULW8,PADI3,Homo sapiens
P18669,PGAM1,Homo sapiens
Q9NUG6,PDRG1,Homo sapiens
Q86VZ1,P2RY8,Homo sapiens
O60437,PPL,Homo sapiens
Q9NY27,PPP4R2,Homo sapiens
Q8NDH3,NPEPL1,Homo sapiens
Q5H9R7,PPP6R3,Homo sapiens
Q5JTB6,PLAC9,Homo sapiens
Q8NE79,BVES,Homo sapiens
Q6DJT9,PLAG1,Homo sapiens
Q8WVI7,PPP1R1C,Homo sapiens
D3DTV9,PRAC2,Homo sapiens
Q8WUA2,PPIL4,Homo sapiens
Q8NCQ7,PROCA1,Homo sapiens
O15067,PFAS,Homo sapiens
P12272,PTHLH,Homo sapiens
O43242,PSMD3,Homo sapiens
Q16557,PSG3,Homo sapiens
Q9BTD8,RBM42,Homo sapiens
P20340,RAB6A,Homo sapiens
Q6VN20,RANBP10,Homo sapiens
Q9NP90,RAB9B,Homo sapiens
Q14964,RAB39A,Homo sapiens
Q9H2M9,RAB3GAP2,Homo sapiens
O43502,RAD51C,Homo sapiens
O95716,RAB3D,Homo sapiens
P04049,RAF1,Homo sapiens
Q92928,RAB1C,Homo sapiens
Q9ULI2,RIMKLB,Homo sapiens
Q9Y6G3,MRPL42,Homo sapiens
P62277,RPS13,Homo sapiens
Q8IZC4,RTKN2,Homo sapiens
P19793,RXRA,Homo sapiens
P21453,S1PR1,Homo sapiens
O95977,S1PR4,Homo sapiens
Q14D33,RTP5,Homo sapiens
Q92503,SEC14L1,Homo sapiens
Q9NV23,OLAH,Homo sapiens
P18405,SRD5A1,Homo sapiens
Q9Y6R1,SLC4A4,Homo sapiens
Q96FV2,SCRN2,Homo sapiens
A0A286YF77,SCYGR6,Homo sapiens
P02743,APCS,Homo sapiens
Q1RMZ1,BMT2,Homo sapiens
P35498,SCN1A,Homo sapiens
Q9Y6X1,SERP1,Homo sapiens
A3KN83,SBNO1,Homo sapiens
O15041,SEMA3E,Homo sapiens
Q15428,SF3A2,Homo sapiens
Q92599,SEPTIN8,Homo sapiens
